bps_region_code,province,district,poverty_rate,poverty_year,merge_key
5304,NUSA TENGGARA TIMUR,Timor Tengah Selatan,24.5,2025,NUSA TENGGARA TIMUR|TIMOR TENGAH SELATAN
9409,PAPUA,Biak Numfor,25.73,2025,PAPUA|BIAK NUMFOR
1311,SUMATERA BARAT,Dharmasraya,4.61,2025,SUMATERA BARAT|DHARMASRAYA
1906,KEP. BANGKA BELITUNG,Belitung Timur,6.69,2025,KEPULAUAN BANGKA BELITUNG|BELITUNG TIMUR
1376,SUMATERA BARAT,Kota Payakumbuh,4.95,2025,SUMATERA BARAT|KOTA PAYAKUMBUH
1602,SUMATERA SELATAN,Ogan Komering Ilir,11.84,2025,SUMATERA SELATAN|OGAN KOMERING ILIR
5105,BALI,Klungkung,5.18,2025,BALI|KLUNGKUNG
8106,MALUKU,Seram Bagian Barat,21.85,2025,MALUKU|SERAM BAGIAN BARAT
1403,RIAU,Indragiri Hilir,4.95,2025,RIAU|INDRAGIRI HILIR
9104,PAPUA BARAT,Teluk Bintuni,25.34,2025,PAPUA BARAT|TELUK BINTUNI
1502,JAMBI,Merangin,8.07,2025,JAMBI|MERANGIN
7471,SULAWESI TENGGARA,Kota Kendari,4.18,2025,SULAWESI TENGGARA|KOTA KENDARI
1272,SUMATERA UTARA,Kota Tanjung Balai,10.67,2025,SUMATERA UTARA|KOTA TANJUNG BALAI
1408,RIAU,Bengkalis,6.08,2025,RIAU|BENGKALIS
7110,SULAWESI UTARA,Bolaang Mongondow Selatan,10.52,2025,SULAWESI UTARA|BOLAANG MONGONDOW SELATAN
7307,SULAWESI SELATAN,Sinjai,7.41,2025,SULAWESI SELATAN|SINJAI
1204,SUMATERA UTARA,Tapanuli Tengah,11.03,2025,SUMATERA UTARA|TAPANULI TENGAH
1113,ACEH,Gayo Lues,16.77,2025,ACEH|GAYO LUES
1218,SUMATERA UTARA,Serdang Bedagai,6.18,2025,SUMATERA UTARA|SERDANG BEDAGAI
1701,BENGKULU,Bengkulu Selatan,15.72,2025,BENGKULU|BENGKULU SELATAN
3505,JAWA TIMUR,Blitar,7.57,2025,JAWA TIMUR|BLITAR
3514,JAWA TIMUR,Pasuruan,8.21,2025,JAWA TIMUR|PASURUAN
1205,SUMATERA UTARA,Tapanuli Utara,7.47,2025,SUMATERA UTARA|TAPANULI UTARA
1109,ACEH,Pidie,16.46,2025,ACEH|PIDIE
6404,KALIMANTAN TIMUR,Kutai Timur,8.07,2025,KALIMANTAN TIMUR|KUTAI TIMUR
6105,KALIMANTAN BARAT,Sanggau,4.61,2025,KALIMANTAN BARAT|SANGGAU
1813,LAMPUNG,Pesisir Barat,12.13,2025,LAMPUNG|PESISIR BARAT
3278,JAWA BARAT,Kota Tasikmalaya,10.84,2025,JAWA BARAT|KOTA TASIKMALAYA
6213,KALIMANTAN TENGAH,Murung Raya,6.19,2025,KALIMANTAN TENGAH|MURUNG RAYA
7402,SULAWESI TENGGARA,Muna,12.4,2025,SULAWESI TENGGARA|MUNA
1903,KEP. BANGKA BELITUNG,Bangka Barat,2.92,2025,KEPULAUAN BANGKA BELITUNG|BANGKA BARAT
2101,KEPULAUAN RIAU,Karimun,5.16,2025,KEPULAUAN RIAU|KARIMUN
1401,RIAU,Kuantan Singingi,6.99,2025,RIAU|KUANTAN SINGINGI
9504,PAPUA SELATAN,Asmat,28.47,2025,PAPUA SELATAN|ASMAT
1708,BENGKULU,Kepahiang,10.38,2025,BENGKULU|KEPAHIANG
5207,NUSA TENGGARA BARAT,Sumbawa Barat,10.98,2025,NUSA TENGGARA BARAT|SUMBAWA BARAT
6111,KALIMANTAN BARAT,Kayong Utara,8.75,2025,KALIMANTAN BARAT|KAYONG UTARA
1275,SUMATERA UTARA,Kota Medan,7.25,2025,SUMATERA UTARA|KOTA MEDAN
1801,LAMPUNG,Lampung Barat,9.93,2025,LAMPUNG|LAMPUNG BARAT
3306,JAWA TENGAH,Purworejo,10.06,2025,JAWA TENGAH|PURWOREJO
3510,JAWA TIMUR,Banyuwangi,6.13,2025,JAWA TIMUR|BANYUWANGI
1811,LAMPUNG,Mesuji,5.92,2025,LAMPUNG|MESUJI
1905,KEP. BANGKA BELITUNG,Bangka Selatan,4.17,2025,KEPULAUAN BANGKA BELITUNG|BANGKA SELATAN
3572,JAWA TIMUR,Kota Blitar,6.6,2025,JAWA TIMUR|KOTA BLITAR
9606,PAPUA TENGAH,Intan Jaya,39.21,2025,PAPUA TENGAH|INTAN JAYA
1220,SUMATERA UTARA,Padang Lawas Utara,8.04,2025,SUMATERA UTARA|PADANG LAWAS UTARA
1603,SUMATERA SELATAN,Muara Enim,9.45,2025,SUMATERA SELATAN|MUARA ENIM
1802,LAMPUNG,Tanggamus,10.1,2025,LAMPUNG|TANGGAMUS
3216,JAWA BARAT,Bekasi,4.36,2025,JAWA BARAT|BEKASI
2103,KEPULAUAN RIAU,Natuna,4.81,2025,KEPULAUAN RIAU|NATUNA
3573,JAWA TIMUR,Kota Malang,3.85,2025,JAWA TIMUR|KOTA MALANG
7322,SULAWESI SELATAN,Luwu Utara,10.74,2025,SULAWESI SELATAN|LUWU UTARA
7107,SULAWESI UTARA,Bolaang Mongondow Utara,7.15,2025,SULAWESI UTARA|BOLAANG MONGONDOW UTARA
1103,ACEH,Aceh Selatan,9.89,2025,ACEH|ACEH SELATAN
6210,KALIMANTAN TENGAH,Pulang Pisau,4.79,2025,KALIMANTAN TENGAH|PULANG PISAU
1405,RIAU,Siak,4.4,2025,RIAU|SIAK
1206,SUMATERA UTARA,Toba Samosir,7.21,2025,SUMATERA UTARA|TOBA SAMOSIR
3672,BANTEN,Kota Cilegon,3.44,2025,BANTEN|KOTA CILEGON
6171,KALIMANTAN BARAT,Kota Pontianak,4.0,2025,KALIMANTAN BARAT|KOTA PONTIANAK
1306,SUMATERA BARAT,Padang Pariaman,5.86,2025,SUMATERA BARAT|PADANG PARIAMAN
1222,SUMATERA UTARA,Labuhan Batu Selatan,6.8,2025,SUMATERA UTARA|LABUHAN BATU SELATAN
6503,KALIMANTAN UTARA,Tana Tidung,4.56,2025,KALIMANTAN UTARA|TANA TIDUNG
7173,SULAWESI UTARA,Kota Tomohon,4.86,2025,SULAWESI UTARA|KOTA TOMOHON
5312,NUSA TENGGARA TIMUR,Ngada,11.22,2025,NUSA TENGGARA TIMUR|NGADA
9428,PAPUA,Mamberamo Raya,35.09,2025,PAPUA|MAMBERAMO RAYA
6206,KALIMANTAN TENGAH,Sukamara,4.02,2025,KALIMANTAN TENGAH|SUKAMARA
5204,NUSA TENGGARA BARAT,Sumbawa,11.79,2025,NUSA TENGGARA BARAT|SUMBAWA
