province,date,temp_mean,temp_max_mean,temp_min_mean,precip_sum,rainy_days,precip_anomaly
Jawa Timur,2024-08-01,27.896774193548385,32.13870967741936,22.683870967741935,3.7,2.0,-9.2
Jawa Timur,2024-09-01,28.913333333333334,33.07333333333334,24.16,11.399999999999999,3.0,-6.225000000000001
Jawa Timur,2024-10-01,29.809677419354838,34.18387096774194,24.783870967741933,19.5,5.0,-38.875
Jawa Timur,2024-11-01,28.416666666666668,32.07,25.41,284.3,25.0,35.400000000000006
Jawa Timur,2024-12-01,27.14516129032258,30.81935483870968,25.07741935483871,426.0,31.0,126.94999999999999
Jawa Timur,2025-01-01,26.648387096774194,30.125806451612902,24.551612903225806,378.2,31.0,40.48000000000002
Jawa Timur,2025-02-01,26.914285714285715,30.63214285714286,24.52857142857143,276.8,27.0,-70.0
Jawa Timur,2025-03-01,27.461290322580645,31.096774193548388,25.029032258064515,263.0,25.0,-22.480000000000018
Jawa Timur,2025-04-01,27.746666666666666,31.176666666666666,24.83,123.3,21.0,-51.67999999999999
Jawa Timur,2025-05-01,27.73225806451613,30.270967741935483,25.416129032258063,274.2,23.0,141.14
Jawa Timur,2025-06-01,28.116666666666667,30.8,25.166666666666668,74.1,13.0,5.179999999999993
Kalimantan Barat,2021-01-01,25.4,28.822580645161292,23.129032258064516,334.09999999999997,26.0,-0.12000000000000455
Kalimantan Barat,2021-02-01,25.832142857142856,30.182142857142857,22.660714285714285,83.3,13.0,-150.95999999999998
Kalimantan Barat,2021-03-01,25.938709677419357,30.003225806451614,23.38064516129032,231.79999999999998,23.0,-82.82000000000002
Kalimantan Barat,2021-04-01,26.566666666666666,30.94333333333333,23.753333333333334,140.2,25.0,-144.14000000000004
Kalimantan Barat,2021-05-01,26.551612903225806,30.309677419354838,23.95483870967742,275.8,25.0,-17.21999999999997
Kalimantan Barat,2021-06-01,26.173333333333336,29.779999999999998,23.64,163.7,24.0,-98.22000000000003
Kalimantan Barat,2021-07-01,26.461290322580645,30.135483870967743,23.816129032258065,199.0,18.0,-1.799999999999983
Kalimantan Barat,2021-08-01,25.741935483870968,29.345161290322583,23.567741935483873,449.4,26.0,76.67499999999995
Kalimantan Barat,2021-09-01,25.779999999999998,29.40666666666667,23.37,283.6,25.0,27.825000000000017
Kalimantan Barat,2021-10-01,26.416129032258063,30.60967741935484,23.725806451612904,306.3,22.0,-39.724999999999966
Kalimantan Barat,2021-11-01,26.043333333333333,29.990000000000002,23.566666666666666,295.6,23.0,-101.72499999999997
